hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
1122,46.75,130009.16666666463,95.80140463628592,15.626978405389915,18.580783624988772,34.20776203037869,0.1107479476513062,0.125431421507333,3.8005750435005994
1123,46.791666666666664,143626.84445171672,105.83602521836559,17.263810346818946,20.527008886532176,37.79081923335112,0.12234812866268101,0.13856960803680546,3.800575043500599
1124,46.833333333333336,156316.50000000055,115.18680299077585,18.789094896433042,22.340602112791636,41.12969700922468,0.13315777650834162,0.15081244886618042,3.8005750435005994
1125,46.875,167213.35425653876,123.21649790121117,20.09888643282681,23.897969922500778,43.99685635532759,0.14244023155138624,0.16132561462517825,3.8005750435005994
1126,46.916666666666664,175574.80461164998,129.37789951122255,21.103924827327695,25.09298027309972,46.196905100427415,0.14956290982061238,0.16939265044114976,3.800575043500599
1127,46.958333333333336,180831.03204159084,133.25111848329078,21.735718374255832,25.844195184044178,47.57991355830001,0.154040412562761,0.17446380115465068,3.8005750435006003
1128,47.0,188482.33333333753,138.72368863139909,22.8209329805869,26.93771172135151,49.75864470193841,0.16055815232410667,0.18184569292436972,3.787931412971041
1129,47.041666666666664,186543.8763070364,137.29697715034817,22.586229827773472,26.66066932891476,49.24689915668823,0.15890688308842632,0.1799754907949827,3.787931412971041
1130,47.083333333333336,180860.60787102414,133.114070736877,21.898115001332176,25.848422132814942,47.74653713414712,0.15406560665094576,0.1744923355912846,3.7879314129710404
1131,47.125,171819.8333771798,126.4600275504914,20.803482389522667,24.556323437165727,45.359805826688394,0.1463642480003002,0.16576989527907468,3.7879314129710404
1132,47.166666666666664,160037.66666666418,117.92886343691444,19.236375596969363,22.872427632780344,42.10880322974971,0.13632764200142702,0.15440258975110774,3.8005750435005994
1133,47.208333333333336,146317.04292985666,107.81838384402307,17.587169649874035,20.911489435959535,38.498659085833566,0.12463976676688138,0.1411650820937627,3.8005750435005994
1134,47.25,131593.00000000006,96.96850278739049,15.817353668399091,18.807143544210504,34.6244972126096,0.11209713167875529,0.1269594865778547,3.8005750435005985
1135,47.291666666666664,116868.95707015271,86.11862173076466,14.047537686925251,16.702797652462788,30.750335339388037,0.09955449659063703,0.11275389106195557,3.8005750435006
1136,47.333333333333336,103148.33333333595,76.00814213786647,12.398331739828809,14.741859455640657,27.140191195469466,0.08786662135608349,0.0995163834046016,3.8005750435005994
1137,47.375,91366.16662282031,67.32607648460122,10.982126486963809,13.057963651255273,24.04009013821908,0.07783001535721032,0.08814907787663465,3.8005750435005994
1138,47.416666666666664,82325.39212897599,60.66409319744681,9.89543397592312,11.765864955606057,21.661298931529178,0.07012865670656479,0.07942663756442474,3.8005750435005994
1139,47.458333333333336,76642.12369296372,56.47619542796862,9.212310505488862,10.953617759506239,20.165928264995102,0.06528738026908422,0.07394348236072663,3.800575043500599
1140,47.5,74703.66666666258,55.047781488335666,8.97930981125742,10.676575367069491,19.655885178326912,0.06363611103340384,0.0720732802313396,3.800575043500599
1141,47.541666666666664,76642.12369296372,56.47619542796862,9.212310505488862,10.953617759506239,20.165928264995102,0.06528738026908422,0.07394348236072663,3.800575043500599
1142,47.583333333333336,82325.39212897599,60.66409319744681,9.89543397592312,11.765864955606057,21.661298931529178,0.07012865670656479,0.07942663756442474,3.8005750435005994
1143,47.625,91366.16662282031,67.32607648460122,10.982126486963809,13.057963651255273,24.04009013821908,0.07783001535721032,0.08814907787663465,3.8005750435005994
1144,47.666666666666664,103148.33333333595,76.00814213786647,12.398331739828809,14.741859455640657,27.140191195469466,0.08786662135608349,0.0995163834046016,3.8005750435005994
1145,47.708333333333336,116868.95707014347,86.11862173075787,14.04753768692414,16.702797652461467,30.750335339385607,0.09955449659062916,0.11275389106194666,3.8005750435006
1146,47.75,131593.00000000006,96.96850278739049,15.817353668399091,18.807143544210504,34.6244972126096,0.11209713167875529,0.1269594865778547,3.8005750435005985
