hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
23394,974.75,14.200000000001507,14.350000000000364,17.728172510654304,3.0,-38366.0732291164,-1743.7312358199042,112.5,-39997.30446493631,18.181091347310097
23395,974.7916666666666,12.310620970758206,13.897066671072174,17.72723443465431,3.0,-56356.515614898155,-1942.0911865611918,112.5,-58186.10680145935,18.15872511669631
23396,974.8333333333334,10.549999999999041,13.47499999999977,17.72629384951287,3.0,-73043.76112029377,-2123.2887195690982,112.5,-75054.54983986287,18.12987480409402
23397,974.875,9.03812049734119,13.112563132924258,17.725350755713936,3.0,-87280.84134482716,-2274.514624263625,112.5,-89442.85596909079,18.095493752442177
23398,974.9166666666666,7.878014552375056,12.834455543377583,17.724405153742676,3.0,-98087.80032064437,-2385.003988109283,112.5,-100360.30430875365,18.056916129122254
23399,974.9583333333334,7.148741468090218,12.659629803994232,17.723457044085563,3.0,-104718.47674590754,-2446.769800724703,112.5,-107052.74654663225,18.015765989531864
23400,975.0,7.599999999999999,12.5,17.722506427230357,2.0,-99991.35349950593,-2500.4805819211124,75.0,-102416.83408142705,18.0
23401,975.0416666666666,7.840222924660659,12.557926095308243,17.72155330366612,2.0,-97533.85992325768,-2467.0735034602635,75.0,-99925.93342671795,18.0
23402,975.0833333333334,8.544520903317617,12.72775681356595,17.720597673883187,2.0,-90772.59932815087,-2390.083577850103,75.0,-93087.68290600098,18.0
23403,975.125,9.664897192632775,12.997918471982372,17.71963953837318,2.0,-80016.98695072535,-2267.610292701325,75.0,-82209.59724342667,18.0
23404,975.1666666666666,11.124999999998566,13.349999999999653,17.718678897629072,2.0,-66000.00000001377,-2108.0000000001573,75.0,-68033.00000001393,18.0
23405,975.2083333333334,12.82532573202685,13.760007623325622,17.717715752145004,2.0,-49676.872972542245,-1922.129877425718,75.0,-51524.00284996796,18.0
23406,975.25,14.649999999994458,14.199999999998663,17.716750102416526,2.0,-32160.0000000532,-1722.6666666672727,75.0,-33807.66666672048,18.0
23407,975.2916666666666,16.474674267968638,14.639992376673288,17.715781948940418,2.0,-14643.127027501077,-1523.2034559081096,75.0,-16091.330483409187,18.0
23408,975.3333333333334,18.174999999997386,15.04999999999937,17.71481129221474,2.0,1679.9999999749048,-1337.333333333619,75.0,417.6666666412857,18.00016054741414
23409,975.375,19.635102807363918,15.402081528016831,17.71383813273887,2.0,15695.445695517865,-1177.7958221267802,75.0,14592.649873391085,18.00576983441195
