hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
37604,1566.8333333333333,90428.1666666702,69.00070608638673,9.93569262952254,11.491767950760936,21.427460580283476,0.07914994526824298,0.08871211942844634,4.220199884529381
37605,1566.875,102711.25564529287,78.37324833388165,11.285283151273683,13.052724160137535,24.338007311411218,0.08990108461143699,0.10076211332513153,4.220199884529381
37606,1566.9166666666667,112136.40131433135,85.5650529463532,12.320860381333324,14.250487986644822,26.571348367978146,0.09815072398098723,0.11000839884703432,4.220199884529382
37607,1566.9583333333333,118061.29557222516,90.08601032447658,12.97185144284462,15.003433804903983,27.9752852477486,0.10333666408702799,0.11582085691604127,4.220199884529381
37608,1567.0,139644.83333333052,106.55520792358453,15.343318265151396,17.746307144594596,33.08962540974599,0.12222829813710985,0.1369948058097468,4.220199884529381
37609,1567.0416666666667,137127.11535392998,104.634077321154,15.066686847162398,17.426351185613576,32.49303803277597,0.12002459051352188,0.13452486633945948,4.220199884529382
37610,1567.0833333333333,129745.53973538267,99.0016073896636,14.255644567185536,16.488287778533515,30.743932345719053,0.11356364667557986,0.12728337022181194,4.220199884529381
37611,1567.125,118003.14865737867,90.04164164678411,12.96546261628133,14.996044394313236,27.961507010594566,0.103285769268552,0.11576381345000185,4.220199884529381
37612,1567.1666666666667,102700.16666656996,78.36478695077656,11.284064762266944,13.051314953526454,24.335379715793398,0.08989137865264835,0.10075123478096694,4.220199884529382
37613,1567.2083333333333,84879.466696601,64.76680165252183,9.326035490289966,10.786629553789194,20.112665044079158,0.07429328041336707,0.08326871664188047,4.220199884529382
37614,1567.25,65755.49999999424,50.17436597810964,7.224811259402804,8.356322762481804,15.581134021884608,0.05755445916834865,0.06450766375236844,4.220199884529381
37615,1567.2916666666667,46631.53330338747,35.58193030369742,5.123587028515638,5.926015971174413,11.049602999690052,0.0408156379233302,0.04574661086285638,4.220199884529382
37616,1567.3333333333333,28810.8333333076,21.98394500535807,3.1655577565264745,3.6613305714230586,6.826888327949533,0.025217539683951847,0.028264092723661104,4.220199884529382
37617,1567.375,13507.851342609794,10.307090309435146,1.4841599025242767,1.7166011306503717,3.2007610331746483,0.01182314906814528,0.013251514054735002,4.220199884529381
37618,1567.4166666666667,1765.4602646057908,1.347124566555634,0.19397795162006656,0.22435774643009043,0.418335698050157,0.0015452716611173952,0.001731957282924892,4.220199884529381
37619,1567.4583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37620,1567.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37621,1567.5416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37622,1567.5833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37623,1567.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37624,1567.6666666666667,24949.80264091329,19.0378071611789,2.7413313721280184,3.1706641076063695,5.911995479734388,0.02183805761274611,0.024476332465696853,4.220199884529381
37625,1567.7083333333333,46631.53330342444,35.58193030372563,5.123587028519701,5.926015971179112,11.049602999698813,0.04081563792336256,0.045746610862892646,4.220199884529382
37626,1567.75,65755.50000003121,50.17436597813785,7.2248112594068665,8.356322762486503,15.58113402189337,0.057554459168381006,0.0645076637524047,4.220199884529381
37627,1567.7916666666667,84879.46669663797,64.76680165255006,9.32603549029403,10.786629553793892,20.112665044087922,0.07429328041339944,0.08326871664191675,4.220199884529381
37628,1567.8333333333333,102700.16666671784,78.36478695088938,11.28406476228319,13.051314953545246,24.335379715828438,0.08989137865277777,0.100751234781112,4.220199884529382
37629,1567.875,118003.1486574064,90.04164164680527,12.965462616284377,14.99604439431676,27.96150701060114,0.10328576926857627,0.11576381345002906,4.220199884529381
37630,1567.9166666666667,129745.53973540117,99.00160738967773,14.25564456718757,16.488287778535867,30.743932345723437,0.11356364667559606,0.1272833702218301,4.220199884529381
