hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
38641,1610.0416666666667,127550.17226091874,92.55374654031819,16.84731365884913,18.149112061751392,34.99642572060053,0.10674544696946106,0.12305901060970686,3.644662837263314
38642,1610.0833333333333,121276.0261259319,88.10052651934183,15.919135702502796,17.256363904087237,33.17549960659004,0.10149467763172262,0.11700578306711447,3.655590045789135
38643,1610.125,111295.30095227358,82.06158296425316,13.428650498065796,15.805067489954618,29.233717988020416,0.0944329620195481,0.10737648862347136,3.8070867687059473
38644,1610.1666666666667,98288.1666666227,72.54973341145813,11.780511453092771,13.95792180207178,25.73843325516455,0.0833965372336826,0.09482734778197184,3.8187315324214874
38645,1610.2083333333333,83141.03797533514,63.44030335370794,9.135027598948986,10.565707022678225,19.700734621627213,0.07277166891539065,0.08156327792711308,4.220199884529381
38646,1610.25,66886.16666658831,51.08921910204553,7.29693772489115,8.500009839651627,15.796947564542776,0.05854410883256694,0.06561687385866627,4.234119686306894
38647,1610.2916666666667,50631.295357961644,38.058632202158364,6.158119346139539,6.41454380966374,12.57266315580328,0.04352612256161279,0.04967046979033737,4.02709392039914
38648,1610.3333333333333,35484.16666668335,27.07722019522773,3.9114118416654664,4.495534629790154,8.40694647145562,0.030937615908260475,0.03481078680669465,4.220815106550743
38649,1610.375,22477.03238103246,17.749571215062513,2.2333168275184323,2.4941443384515107,4.7274611659699435,0.020242887692098255,0.022440252806682305,4.7545673231185175
38650,1610.4166666666667,12496.307207383381,9.876766155862263,1.2328991966494196,1.386641854871698,2.619541051521118,0.011254214483335646,0.012475859274033241,4.770418543403629
38651,1610.4583333333333,6222.161072405785,4.91783923653468,0.613885147050469,0.690436688820636,1.304321835871105,0.005603698284349331,0.006211979637779464,4.770418543403629
38652,1610.5,4082.1666666674664,3.2295981185188753,0.40001832696102846,0.452550221187562,0.8525685481485905,0.0036768418015793894,0.0040754869435669595,4.788080296337653
38653,1610.5416666666667,6222.161072415028,4.917839236541985,0.6138851470513809,0.6904366888216616,1.3043218358730426,0.005603698284357655,0.006211979637788692,4.770418543403629
38654,1610.5833333333333,12496.307207355654,9.876766155840349,1.2328991966466838,1.3866418548686212,2.619541051515305,0.011254214483310675,0.012475859274005558,4.77041854340363
38655,1610.625,22477.03238106943,17.749571215091713,2.2333168275221063,2.4941443384556137,4.72746116597772,0.020242887692131555,0.02244025280671922,4.754567323118517
38656,1610.6666666666667,35484.16666672956,27.077220195262992,3.9114118416705597,4.495534629796009,8.406946471466568,0.030937615908300763,0.034810786806739984,4.220815106550743
38657,1610.7083333333333,50631.2953580171,38.05863220220005,6.158119346146284,6.414543809670765,12.57266315581705,0.04352612256166047,0.04967046979039177,4.02709392039914
38658,1610.75,66886.16666665302,51.089219102094965,7.296937724898211,8.500009839659851,15.796947564558062,0.05854410883262359,0.06561687385872976,4.234119686306894
38659,1610.7916666666667,83141.0379753906,63.440303353750245,9.135027598955078,10.565707022685274,19.70073462164035,0.07277166891543918,0.08156327792716749,4.220199884529382
38660,1610.8333333333333,98288.1666666689,72.54973341149223,11.780511453098306,13.95792180207834,25.738433255176645,0.08339653723372178,0.09482734778201642,3.8187315324214883
38661,1610.875,111295.30095231978,82.06158296428723,13.428650498071368,15.80506748996118,29.23371798803255,0.09443296201958729,0.10737648862351594,3.807086768705948
38662,1610.9166666666667,121276.02612595963,88.10052651936199,15.91913570250644,17.256363904091184,33.175499606597626,0.10149467763174586,0.11700578306714124,3.655590045789135
38663,1610.9583333333333,127550.17226093722,92.55374654033162,16.847313658851576,18.149112061754025,34.9964257206056,0.10674544696947655,0.12305901060972471,3.644662837263314
38664,1611.0,95546.16666666704,70.52577289049589,11.451863931225546,13.568529844945584,25.02039377617113,0.08106997735525202,0.0921818961835521,3.818731532421488
38665,1611.0416666666667,93805.6578735008,69.24104601820812,11.243252005014227,13.321359850278439,24.564611855292668,0.0795931728598831,0.09050267234364705,3.818731532421487
38666,1611.0833333333333,88702.7442919954,67.59555041115534,9.813984965374235,11.293208915465812,21.107193880840047,0.07761895130715629,0.08701944023999299,4.202488724591424
38667,1611.125,80585.18104969316,61.490071041964306,8.85420570733836,10.240904300390497,19.095110007728856,0.0705345790435622,0.07905592326995908,4.220199884529382
38668,1611.1666666666667,70006.16666660264,53.47234810379678,7.637313722446075,8.896504840359784,16.53381856280586,0.061274981726942145,0.06867766589748175,4.234119686306894
38669,1611.2083333333333,57686.64349051225,44.1168950948314,6.250827374572212,7.318921021108642,13.569748395680854,0.050503982213415406,0.056591929211838456,4.251121082604116
