hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
1605,66.875,5.9,5.271428571428571,8.61668748865024,0.0,-116160.0,-5770.285714285715,0.0,-121930.28571428571,121930.28571428571
1606,66.91666666666667,4.864723819589917,5.271428571428571,8.61668748865024,0.0,-126098.6513319368,-5770.285714285715,0.0,-131868.9370462225,131868.9370462225
1607,66.95833333333333,3.9000000000000012,5.271428571428571,8.61668748865024,0.0,-135359.99999999997,-5770.285714285715,0.0,-141130.28571428568,141130.28571428568
1608,67.0,1.108400076889278,5.735714285714287,8.664711059768756,0.0,-162159.35926186293,-5559.809523809524,0.0,-167719.16878567246,167719.16878567246
1609,67.04166666666667,0.2899691705101395,5.735714285714287,8.664711059768756,0.0,-170016.29596310266,-5559.809523809524,0.0,-175576.1054869122,175576.1054869122
1610,67.08333333333333,-0.2245180053887026,5.735714285714287,8.664711059768756,0.0,-174955.37285173155,-5559.809523809524,0.0,-180515.18237554107,180515.18237554107
1611,67.125,-0.40000000000000036,5.735714285714287,8.664711059768756,0.0,-176640.0,-5559.809523809524,0.0,-182199.80952380953,182199.80952380953
1612,67.16666666666667,-0.2245180053887017,5.735714285714287,8.664711059768756,0.0,-174955.37285173155,-5559.809523809524,0.0,-180515.18237554107,180515.18237554107
1613,67.20833333333333,0.2899691705101404,5.735714285714287,8.664711059768756,0.0,-170016.29596310266,-5559.809523809524,0.0,-175576.1054869122,175576.1054869122
1614,67.25,1.1084000768892803,5.735714285714287,8.664711059768756,0.0,-162159.3592618629,-5559.809523809524,0.0,-167719.16878567243,167719.16878567243
1615,67.29166666666667,2.175000000000001,5.735714285714287,8.664711059768756,0.0,-151920.0,-5559.809523809524,0.0,-157479.80952380953,157479.80952380953
1616,67.33333333333333,3.417081917722019,5.735714285714287,8.664711059768756,0.0,-139996.0135898686,-5559.809523809524,0.0,-145555.82311367814,145555.82311367814
1617,67.375,4.75,5.735714285714287,8.664711059768756,0.0,-127200.0,-5559.809523809524,0.0,-132759.80952380953,132759.80952380953
1618,67.41666666666667,6.082918082277982,5.735714285714287,8.664711059768756,0.0,-114403.98641013139,-5559.809523809524,0.0,-119963.79593394091,119963.79593394091
1619,67.45833333333333,7.325000000000001,5.735714285714287,8.664711059768756,0.0,-102479.99999999999,-5559.809523809524,0.0,-108039.80952380951,108039.80952380951
1620,67.5,8.39159992311072,5.735714285714287,8.664711059768756,0.0,-92240.6407381371,-5559.809523809524,0.0,-97800.45026194662,97800.45026194662
1621,67.54166666666667,9.21003082948986,5.735714285714287,8.664711059768756,0.0,-84383.70403689735,-5559.809523809524,0.0,-89943.51356070688,89943.51356070688
1622,67.58333333333333,9.724518005388703,5.735714285714287,8.664711059768756,0.0,-79444.62714826845,-5559.809523809524,0.0,-85004.43667207798,85004.43667207798
1623,67.625,9.9,5.735714285714287,8.664711059768756,0.0,-77760.0,-5559.809523809524,0.0,-83319.80952380953,83319.80952380953
1624,67.66666666666667,9.724518005388703,5.735714285714287,8.664711059768756,0.0,-79444.62714826845,-5559.809523809524,0.0,-85004.43667207798,85004.43667207798
1625,67.70833333333333,9.21003082948986,5.735714285714287,8.664711059768756,0.0,-84383.70403689735,-5559.809523809524,0.0,-89943.51356070688,89943.51356070688
