hi,lo
13.4,6.1
13.1,7
13.8,7.2
13.8,6.9
13.7,5.5
12.5,9.1
13.3,8.4
15.3,9
19.8,11.1
15.6,12.2
17.3,10.3
16.3,8.1
15.5,6.4
12.4,7.2
13.9,5.9
12.9,5.9
12.9,6.4
14.6,7.7
16.6,14.1
15.6,9.8
17.4,9.6
17.4,7.1
10.3,4.4
11.7,1.6
11.4,0.8
11.8,0.7
13.8,3.4
14.6,8.8
15.6,11.3
15.5,8.5
13.4,8.3
12.9,7.4
13.2,7.3
14.4,9.3
13.8,7.1
12.6,7.3
14.6,11.7
15.8,8.2
10,2.5
10.4,0.1
12.5,9.9
11.3,1.5
9.9,0
12.1,5.3
13.1,5.4
9.1,0.9
5.8,-0.9
10.6,5.1
8.3,6.4
9.6,5.7
7.8,3.1
6.8,-0.4
6.9,2.8
4.6,0.6
7,0.4
6.4,0.1
1.6,-0.2
4,-0.2
7,3
6.9,4.4
10.1,5.5
8.5,3.3
10.7,0.9
12,6.9
9.9,4.4
10.1,4.6
10.4,5.3
11.3,9.7
11.6,7
9.6,3.1
13.1,3.1
13.4,8.8
12.3,7.1
7.1,2.4
4.3,0.3
10.3,0.1
10.2,-0.8
3.4,-1.2
3.5,0.9
4.3,-2.1
1.2,-2.6
3.9,-0.3
4.5,-0.3
5.6,0.6
4.6,2.2
3.9,1.8
5.7,0.8
3.4,-1.2
0.8,-2.8
3.6,-2.7
3.4,-2.5
8.5,2.9
8.8,0.2
5.9,-0.1
4.6,1.4
4.4,-0.7
6.5,0
7.2,2.9
8.3,1.4
12.4,8.1
10.4,8.3
9.4,3.6
7.1,-0.1
4,-1.2
3.3,-3.2
4.4,-2.5
5.4,-1.4
10.1,5.4
12.9,7.4
11.3,7.9
8,2.3
4.4,-0.4
4.6,2.5
12.3,3.3
10.3,4.5
9.1,1.5
10.9,3.3
7.9,3.4
3.4,-2.1
-1.1,-2.1
0.9,-1.8
2.9,-3.4
1.1,-4.6
0.8,-2.3
0.4,-3.1
3.3,-0.3
12.1,3.3
10.3,6.5
11.6,6.3
11.3,3.8
10.8,2.6
16.1,9.2
15.9,7.9
12.8,5.3
15,5.3
17.1,10.4
12.3,4.4
13.3,-0.3
13.5,-0.6
11.1,0.7
7.6,2.8
10.4,3.9
6.4,3.7
6.9,3.1
7.3,0.8
6.6,1.8
7.8,-0.6
9.3,-1.4
13.9,2.4
10.3,5.6
13.5,4.9
11.8,4.4
11.2,3.9
11.3,4.4
12.4,3.6
12.8,3.8
10.6,3.9
8.6,3.9
11.9,2.1
9.8,0.9
11.7,1.7
14.3,2.1
13.7,0.3
14.1,1.4
14.6,3.3
14.4,4.5
12.3,2.8
13.6,7.9
20.7,6.1
22.6,2
23.1,3.9
14.5,5.6
11.2,5
9.9,5.1
16.1,4.4
9.4,1.3
7.9,-0.9
9.3,-1.9
14.3,2.3
14.7,4.4
8.5,2.6
10.9,-0.9
12.1,-0.4
13.2,-2.9
12.5,1.3
11.3,-1.2
13.3,-1.8
14.1,-1.6
15.6,-0.6
17,2.1
16.9,1.3
14.6,2.7
12.9,0.8
15.3,-0.3
16.2,1.7
14.2,2.9
12.8,2.4
18.1,0.4
13.2,4.6
12.4,4.1
14,0.7
14.4,0.8
13.8,0.3
14.5,5
14.1,5.2
15.1,3.1
13.3,0.3
15.4,2.6
16.6,5.9
22,8.4
18.2,8.1
19.6,5.5
18.8,8.1
14,9.5
13.2,7.5
13.7,8.1
16.6,6.8
16.5,8.8
17.9,5.2
18.4,6.9
14.6,4.6
13.5,9.4
15.8,8.4
14.7,5.5
16.4,6.7
17,6.6
17.6,5.9
19.8,8.6
20.3,8.1
20.9,9.1
19.7,8.5
22.8,7.4
25.3,8.9
26.4,10.7
26.5,15.8
18.1,12.2
23.8,11.8
22.9,11.1
25.1,12.4
26.3,10.4
27.6,11.8
26.3,15.5
26.2,15.1
24.6,13.6
28.1,11.3
29.1,13.7
23.9,13.7
30,12
21.1,16.4
16.4,12.3
15.8,11.3
17.8,12.1
13.9,10.5
17,10.9
21.9,6.9
23.3,8.1
22,13.9
23.9,12.6
22.8,14.9
19.4,15.1
17.8,12.7
17.1,12.4
21.6,8.9
26.1,11.5
23.5,15.3
23.5,13.1
22.8,14
20.9,12.4
22.6,11.6
24.8,12.6
23.4,13.6
19.4,12.4
21.9,13.1
21.7,13.9
24.3,14.6
23.5,12.6
22.4,13.1
26.6,9.9
28.1,12.8
31.2,13.9
28.1,15.9
29.3,15.3
28.7,15.3
27.9,14.2
22.4,13.2
23,14.6
25.3,16.1
24.7,15.8
24,15.4
21.3,13.1
23,11.7
19.4,14
21.4,13.6
21.7,13.4
20.8,12.3
21.9,12.3
24,9.3
23,11.2
24.2,13.4
19.9,11.8
21.6,12.4
22.4,12.2
24.3,12.5
25.1,13.4
23.1,15.4
23.4,12.5
25.8,14
25.5,12.3
19.9,12.3
18.8,11.1
24.4,15.3
23.6,15.2
23.2,15.5
21.5,14.2
20.3,14.6
21.7,13.1
23.5,12.1
23.7,12.4
18.6,14.1
21.5,11.4
21.1,11.1
19.5,8.8
17.1,13.9
19.5,13.8
19.6,14.1
20.5,14.6
21.6,14.3
19.4,13.1
23.9,12.3
26.4,11.9
28.7,12.8
27.1,14.6
25.4,15.1
23.1,15
24.3,16.1
22.1,11.5
20.4,11.4
18.3,14
20.5,11.4
24.1,9.1
22.8,11.6
24.8,12.4
22.8,13.9
19.5,12.8
21,10.3
23.2,8.1
23.3,11.1
24,12.1
20.5,12.7
22.8,12.7
18.9,10.8
18.1,8.8
14.8,7.9
16.6,6.3
18.1,8.5
16.2,6.1
17.3,10
17.9,8.9
14.4,9.8
17.2,8.8
18.1,10.3
18.2,9.8
18.8,6.6
17.1,7.3
16.1,6.4
15.6,7.8
10.9,4.4
18.1,9.1
15.7,6.3
15.3,5.1
17.1,7.2
17.8,6.9
20.8,15.5
18.4,10
11.6,4.6
13.4,4.9
14.4,7.9
15.3,10.6
16.4,7.8
17.6,7.6
16,12
15,11
14.1,9
14.4,7
13.9,5.4
13.4,3.5
11.9,1.1
9.4,-0.2
9.3,3.1
9.8,0.9
14.6,7.8
12.7,5.7
11.3,2.9
15.1,10.1
14,9.6
14.8,7.5
14.3,6.9
13.7,9.5
13.1,9.6
11.1,9.4
11.6,6.9
11.5,5.4
13.6,4.3
12.6,7.4
11.2,8.9
8.9,2.6
9.8,2.3
8.4,0.6
7.6,-0.8
7,1.9
8.7,1.4
6,0.9
3.5,-0.8
4,-1.5
11.5,3.9
10.6,1.9
4.3,0.3
8.5,1.2
7.2,1.8
6.7,2.8
5.7,1.9
6.9,-0.2
7.9,4.3
6.9,2.6
6.8,2.1
9.9,1.3
13.3,9.9
11.9,8.6
12.9,8.1
12.5,9.3
11.9,9.4
9.4,3.9
8.9,6.3
6.4,2.9
7.3,4.7
6.7,-1.6
3.7,-2.9
10.8,2.7
10.2,6.7
8,4.7
7.8,4.7
9.9,7.3
9.9,8.7
14.7,6.9
15,13.1
15.7,11.3
15.1,11.6
13.1,9.2
10.7,6.8
8,1.1
5.8,0
6.3,-3.6
6.3,1.2
9.6,1.3
7.8,0.4
6.9,-1.5
9.9,5.6
7.7,-0.2
9.4,-0.9
7.1,-1.2
5.4,-0.3
9,1
8.4,-0.9
5.1,-2.8
9,1.6
4.8,0.4
4.8,-1.8
7.8,-0.9
6.8,4.5
4.8,3.2
3.7,1.5
7.6,2.3
11.4,2.7
9.4,0.6
14.1,4.5
8,-0.3
7.6,3.1
14.3,4.3
12.1,7.5
10.1,6.6
9.3,2.1
10.6,1.3
11.3,4.6
10.4,1.5
13.3,8.6
13.2,7.4
8.2,2.5
8.9,0.1
9.5,-0.3
9.2,6.2
9.8,4.9
9.2,2.4
15.7,8.3
11.9,7.3
11.2,3.8
9,2.2
12.7,2.4
11.1,3.5
14.3,3.6
11.8,1.8
8.4,3
11.8,0.4
12.4,-0.9
12.1,1.3
13.6,2.3
8.4,6.4
7.8,5.6
12.4,4.7
9.7,5.1
7.8,3.6
8.1,2.9
7.9,2
10.3,0.4
13.8,4.9
17.8,5.1
13.3,7.8
14.3,7.1
13.2,5.9
15.8,2.2
15,4.9
10.9,5.2
15.2,1.8
15.8,1.3
13.4,6.4
13.1,1.7
16.8,-1.9
20.2,5.1
20.2,4.1
19.5,0.8
17.4,1
18.8,1.6
15.3,3.8
15.4,1.3
11.1,6.1
11.9,2.9
8.9,-0.3
8.9,0.2
11.2,-1.4
12.4,-2.5
14.4,3.8
16.1,8.6
15.1,8.3
13.9,4
12.8,2.1
13.2,1.1
15.6,-0.4
14.9,3.6
21.7,7.6
20.8,7.3
21.3,5.7
20.3,6.9
18.1,5.9
19.1,3.9
18.3,4.1
17.6,4.6
18.3,5.9
18.3,6
16.8,8.9
17.4,9.1
19.8,7.2
15.4,4.6
15.8,2.9
12.2,5.9
14.8,6.3
11.8,5
19.2,1.9
17.3,8.6
20.6,4.9
14.9,8.8
17.5,8.6
21.1,6.5
24.2,8.8
18.8,11
17.9,6.6
23.7,3.5
21.8,13.9
16.5,8.5
20.2,6.3
21.7,10.3
24.8,11.6
18.4,11.6
24.3,10.6
26.7,9.9
25.5,12.1
23.6,13.5
19.6,10.4
22.6,9.8
25.3,7.9
18.5,10.2
20.3,9
20.3,8.4
22.3,10.6
20.9,10.7
18.9,7.1
15.4,6.1
17.7,4.8
18.8,8.3
20.4,6.8
21,6.6
23.6,8.3
21.7,10.9
14.7,10.8
17.1,11.4
24.1,12.4
24.7,13.5
22.8,11.1
25.6,13.3
25.5,11
23.8,10.8
24.4,9.5
25.1,8.6
26.2,9.3
29.4,11
33.7,14.2
25.1,10.3
20,9.2
23.3,10
24.8,8
26.1,9.6
27.3,10.8
24.7,14.2
22.8,12
24.1,9.4
22.8,10.1
25.2,9.3
18.6,12.3
21.9,10.8
23.8,9.8
25.5,10.3
25.1,12
24.8,11.1
23.9,10.8
24.2,11.2
24.9,13.4
30.1,11.7
26.9,14.1
31,12.3
32.4,14.7
31.4,17.2
29.3,16
25.9,13.8
26.3,12.2
27.1,12.6
29.9,13.8
38.3,14.9
38.9,18.4
28.4,17.8
24.6,17.3
22.3,14.7
29.4,14.1
30.6,17.3
25.7,16.2
22.9,13.5
22.3,10.8
22.9,14.4
26.3,13.2
26.3,15.8
27.8,18.1
28.1,14.8
29,18.6
29.8,17.1
26.2,17.6
25.1,13.9
25.8,10.6
28.6,11
28.2,13
28,13.6
29.3,13.1
31.5,14.5
32.8,15
33,18.7
32.4,15.8
31.6,17.6
22.6,16.7
24.9,17.2
27.6,16.9
26.7,16.4
26.6,12.8
26.3,14.4
27.2,12.2
28.3,18.3
30.3,18.1
21.9,15.1
25.8,11.9
25.2,13.8
23.6,12.9
22.2,14.3
24.1,14.4
23.8,13.8
25.3,14.8
26.2,15.4
26.2,14.4
26.4,14.2
24.2,16.5
24.4,14.6
22.8,13.6
20.4,13.8
21.9,14.1
23.7,13.4
23.5,12.5
27.4,13.4
20.8,14.6
22.9,13.8
18.5,11
17.6,9.1
18.3,6.2
18.6,7.9
18.8,10
20.4,7.1
20.3,11.9
20.8,9.4
19.3,11.2
19,9.9
16.4,7.8
15.6,9.8
15.4,6.9
15.1,5.4
18.6,3.5
16.6,6.9
19.7,11.6
19.4,7.8
18.6,4.9
18.3,10.6
19.8,10.9
19.9,7.4
20.4,10.6
17.2,6.4
19.2,3.6
17.3,6.5
18.2,2.8
16.9,3.8
18.6,9.1
16.6,8.8
17.4,7.5
16.4,9.5
19.3,9.4
18.7,5.1
16.3,9.1
17.4,9
18.9,8.6
19,11.2
17,11.6
18,11.5
17.3,9.1
19.5,11.2
20.4,10.9
19,10.1
21.5,9.9
14.9,9.6
16.2,8.9
15.1,8.3
14.4,6.9
12,5.3
11.4,4.9
12.8,3.1
13.2,8.9
14.1,9
14.4,10.1
13.9,7.9
15.4,7.8
16.1,8.1
14.1,8.9
15.1,7.6
11.7,6.7
12.6,6.2
11.1,6.4
10.3,7.9
11.6,7.4
9.4,4.6
10.4,3.8
8.8,1.1
9.4,3.6
